"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ENRJ","EnerJex Resources, Inc.","0.39","4025344.83","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/enrj",
"ERF","Enerplus Corporation","8.6","2082308927","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/erf",
"E","ENI S.p.A.","32.72","59455271998.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/e",
"ESV","ENSCO plc","5.12","2242967260.16","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/esv",
"ENSV","ENSERVCO Corporation","0.532","27167995.12","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ensv",
"EOG","EOG Resources, Inc.","96.84","55920075843.96","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eog",
"EPE","EP Energy Corporation","2.74","700879176.8","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epe",
"EQT","EQT Corporation","63.35","11012282033.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eqt",
"ERN","Erin Energy Corp.","2.8","597980300.4","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ern",
"EVEP","EV Energy Partners, L.P.","0.625","30855543.125","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/evep",
"EPM","Evolution Petroleum Corporation, Inc.","6.95","228696574.9","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epm",
"XCO","EXCO Resources NL","1.23","26630301.96","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xco",
"XOG","Extraction Oil & Gas, Inc.","15.67","2690056677.4","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xog",
"XOM","Exxon Mobil Corporation","83.11","352145865365.08","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/xom",
"FPP","FieldPoint Petroleum Corporation","0.3352","3576325.5608","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fpp",
"FELP","Foresight Energy LP","4.21","599461335.86","n/a","2014","Energy","Coal Mining","http://www.nasdaq.com/symbol/felp",
"FET","Forum Energy Technologies, Inc.","13.6","1469734442.4","n/a","2012","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/fet",
"FI","Frank&#39;s International N.V.","6.7","1494458932.4","n/a","2013","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/fi",
"GST","Gastar Exploration Inc.","0.7058","151004240.0772","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gst",
"GEH","General Electric Capital Corporation","25.54","0","n/a","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/geh",
"GEK","General Electric Capital Corporation","25.46","0","n/a","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/gek",
"GE","General Electric Company","23.83","206318853180","n/a","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/ge",
"GEB","General Electric Company","25.17","0","n/a","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/geb",
"GEL","Genesis Energy, L.P.","23.83","2921062764.94","n/a","1996","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/gel",
"GPRK","Geopark Ltd","8.38","503357521.4","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gprk",
"GLP","Global Partners LP","18.05","613619912.15","n/a","2005","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/glp",
"GDP","Goodrich Petroleum Corporation","10.23","107808987.99","n/a","2017","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gdp",
